iter	Passed	Remaining
1316	9440	492323
1317	9447	492305
1318	9454	492294
1319	9461	492290
1320	9469	492305
1321	9476	492320
1322	9485	492380
1323	9492	492381
1324	9500	492427
1325	9508	492428
1326	9516	492461
1327	9524	492500
1328	9532	492531
1329	9539	492534
1330	9546	492518
1331	9553	492527
1332	9560	492503
1333	9567	492497
1334	9574	492467
1335	9582	492470
1336	9589	492466
1337	9596	492454
1338	9603	492461
1339	9610	492446
1340	9618	492463
1341	9625	492454
1342	9632	492418
1343	9638	492377
1344	9645	492372
1345	9653	492363
1346	9659	492343
1347	9667	492330
1348	9674	492325
1349	9681	492328
1350	9688	492312
1351	9695	492282
1352	9701	492240
1353	9708	492220
1354	9716	492220
1355	9723	492202
1356	9730	492192
1357	9737	492194
1358	9744	492186
1359	9751	492178
1360	9759	492186
1361	9766	492174
1362	9773	492158
1363	9780	492136
1364	9787	492112
1365	9794	492111
1366	9800	492063
1367	9807	492035
1368	9814	492023
1369	9820	491981
1370	9828	491970
1371	9834	491933
1372	9841	491911
1373	9848	491872
1374	9855	491872
1375	9862	491846
1376	9868	491818
1377	9875	491788
1378	9883	491792
1379	9889	491770
1380	9897	491767
1381	9904	491746
1382	9911	491773
1383	9918	491753
1384	9925	491742
1385	9932	491717
1386	9939	491701
1387	9946	491681
1388	9953	491679
1389	9961	491672
1390	9968	491660
1391	9975	491647
1392	9982	491627
1393	9988	491608
1394	9996	491600
1395	10002	491564
1396	10009	491555
1397	10016	491535
1398	10023	491517
1399	10030	491503
1400	10037	491489
1401	10044	491457
1402	10051	491433
1403	10057	491391
1404	10064	491387
1405	10071	491346
1406	10078	491330
1407	10084	491285
1408	10091	491266
1409	10098	491233
1410	10105	491226
1411	10112	491215
1412	10119	491187
1413	10126	491183
1414	10133	491172
1415	10140	491134
1416	10147	491124
1417	10154	491102
1418	10160	491057
1419	10167	491051
1420	10174	491046
1421	10181	491025
1422	10188	490985
1423	10195	490977
1424	10202	490955
1425	10208	490922
1426	10215	490895
1427	10221	490851
1428	10229	490856
1429	10236	490844
1430	10243	490831
1431	10250	490811
1432	10257	490799
1433	10265	490821
1434	10272	490810
1435	10279	490792
1436	10285	490755
1437	10292	490728
1438	10299	490699
1439	10305	490663
1440	10312	490643
1441	10319	490616
1442	10326	490593
1443	10332	490570
1444	10339	490555
1445	10347	490561
1446	10354	490565
1447	10362	490580
1448	10369	490554
1449	10376	490542
1450	10383	490527
1451	10390	490518
1452	10397	490519
1453	10404	490497
1454	10411	490497
1455	10418	490457
1456	10425	490443
1457	10431	490416
1458	10438	490373
1459	10445	490369
1460	10452	490351
1461	10459	490326
1462	10466	490318
1463	10473	490291
1464	10479	490269
1465	10486	490255
1466	10493	490208
1467	10500	490190
1468	10507	490178
1469	10514	490166
1470	10521	490174
1471	10528	490153
1472	10535	490138
1473	10542	490118
1474	10549	490085
1475	10555	490044
1476	10562	490022
1477	10569	490022
1478	10576	490024
1479	10584	490012
1480	10591	489997
1481	10597	489977
1482	10604	489933
1483	10611	489914
1484	10617	489880
1485	10624	489875
1486	10631	489856
1487	10638	489841
1488	10645	489824
1489	10652	489789
1490	10659	489804
1491	10666	489791
1492	10674	489787
1493	10681	489787
1494	10688	489780
1495	10695	489763
1496	10702	489768
1497	10710	489771
1498	10717	489762
1499	10724	489750
1500	10732	489764
1501	10739	489748
1502	10746	489751
1503	10753	489737
1504	10760	489737
1505	10768	489740
1506	10775	489722
1507	10781	489687
1508	10788	489671
1509	10795	489642
1510	10802	489626
1511	10809	489641
1512	10816	489636
1513	10823	489606
1514	10830	489581
1515	10836	489534
1516	10843	489527
1517	10850	489505
1518	10857	489486
1519	10864	489486
1520	10871	489461
1521	10878	489439
1522	10885	489436
1523	10892	489416
1524	10899	489426
1525	10907	489421
1526	10914	489418
1527	10920	489386
1528	10927	489365
1529	10934	489356
1530	10941	489340
1531	10949	489336
1532	10956	489326
1533	10965	489408
1534	10974	489509
1535	10983	489569
1536	10990	489551
1537	10997	489544
1538	11004	489535
1539	11011	489529
1540	11018	489516
1541	11025	489491
1542	11033	489496
1543	11039	489475
1544	11047	489474
1545	11054	489472
1546	11061	489453
1547	11069	489471
1548	11076	489454
1549	11082	489420
1550	11089	489387
1551	11095	489362
1552	11102	489348
1553	11109	489336
1554	11117	489338
1555	11123	489309
1556	11130	489283
1557	11137	489248
1558	11143	489218
1559	11150	489191
1560	11157	489171
1561	11164	489172
1562	11172	489179
1563	11179	489182
1564	11185	489137
1565	11193	489159
1566	11201	489167
1567	11207	489139
1568	11214	489104
1569	11221	489088
1570	11228	489080
1571	11236	489095
1572	11243	489102
1573	11251	489111
1574	11258	489101
1575	11264	489080
1576	11271	489059
1577	11278	489023
1578	11284	488996
1579	11291	488977
1580	11298	488944
1581	11305	488920
1582	11311	488885
1583	11318	488849
1584	11325	488850
1585	11333	488866
1586	11341	488895
1587	11348	488910
1588	11356	488931
1589	11363	488925
1590	11371	488945
1591	11379	488954
1592	11385	488939
1593	11393	488943
1594	11400	488921
1595	11406	488894
1596	11413	488874
1597	11421	488881
1598	11428	488862
1599	11435	488847
1600	11442	488855
1601	11449	488846
1602	11456	488841
1603	11464	488840
1604	11471	488843
1605	11478	488837
